i;j;j-coordinate;N_k;Xzz
1;2;(-0.5, 1.5, 0.5);699;1.6252982581841317e-05
1;2;(0.5, -1.5, 1.5);648;1.6213796689290364e-05
1;2;(0.5, -0.5, 1.5);699;1.6252982581841317e-05
1;2;(0.5, 1.5, -1.5);648;1.6213796689290364e-05
1;2;(0.5, 1.5, -0.5);699;1.6252982581841317e-05
1;2;(1.5, -2.5, -1.5);531;1.590483678723037e-05
1;2;(1.5, -2.5, -0.5);564;1.6078975120932864e-05
1;2;(1.5, -1.5, -2.5);531;1.590483678723037e-05
1;2;(1.5, -1.5, 0.5);648;1.6213796689290364e-05
1;2;(1.5, -0.5, -2.5);564;1.6078975120932864e-05
1;2;(1.5, -0.5, 0.5);699;1.6252982581841317e-05
1;2;(1.5, 0.5, -1.5);648;1.6213796689290364e-05
1;2;(1.5, 0.5, -0.5);699;1.6252982581841317e-05
1;2;(-3.5, -2.5, -1.5);389;1.5144754138834167e-05
1;2;(-3.5, -2.5, -0.5);417;1.5364250484289595e-05
1;2;(-3.5, -1.5, -2.5);389;1.5144754138834167e-05
1;2;(-3.5, -1.5, 0.5);473;1.5523857485781718e-05
1;2;(-3.5, -0.5, -2.5);417;1.5364250484289595e-05
1;2;(-3.5, -0.5, 0.5);505;1.5612379335754386e-05
1;2;(-3.5, 0.5, -1.5);473;1.5523857485781718e-05
1;2;(-3.5, 0.5, -0.5);505;1.5612379335754386e-05
1;2;(-2.5, -3.5, -1.5);389;1.5144754138834167e-05
1;2;(-2.5, -3.5, -0.5);417;1.5364250484289595e-05
1;2;(-2.5, -1.5, -3.5);389;1.5144754138834167e-05
1;2;(-2.5, -0.5, -3.5);417;1.5364250484289595e-05
1;2;(-1.5, -3.5, -2.5);389;1.5144754138834167e-05
1;2;(-1.5, -3.5, 0.5);473;1.5523857485781718e-05
1;2;(-1.5, -2.5, -3.5);389;1.5144754138834167e-05
1;2;(-1.5, 0.5, -3.5);473;1.5523857485781718e-05
1;2;(-0.5, -3.5, -2.5);417;1.5364250484289595e-05
1;2;(-0.5, -3.5, 0.5);505;1.5612379335754386e-05
1;2;(-0.5, -2.5, -3.5);417;1.5364250484289595e-05
1;2;(-0.5, 0.5, -3.5);505;1.5612379335754386e-05
1;2;(0.5, -3.5, -1.5);473;1.5523857485781718e-05
1;2;(0.5, -3.5, -0.5);505;1.5612379335754386e-05
1;2;(0.5, -1.5, -3.5);473;1.5523857485781718e-05
1;2;(0.5, -0.5, -3.5);505;1.5612379335754386e-05
1;1;(-3.0, 0.0, 0.0);584;-7.460931709795732e-05
1;1;(-2.0, -2.0, -1.0);601;-4.4892337528346415e-05
1;1;(-2.0, -2.0, 1.0);576;-4.5269005490146264e-05
1;1;(-2.0, -1.0, -2.0);601;-4.4892337528346415e-05
1;1;(-2.0, -1.0, 2.0);552;-4.5221227223970975e-05
1;1;(-2.0, 1.0, -2.0);576;-4.5269005490146264e-05
1;1;(-2.0, 1.0, 2.0);531;-4.616756387591235e-05
1;1;(-2.0, 2.0, -1.0);552;-4.5221227223970975e-05
1;1;(-2.0, 2.0, 1.0);531;-4.616756387591235e-05
1;1;(-1.0, -2.0, -2.0);601;-4.4892337528346415e-05
1;1;(-1.0, -2.0, 2.0);552;-4.5221227223970975e-05
1;1;(-1.0, 2.0, -2.0);552;-4.5221227223970975e-05
1;1;(-1.0, 2.0, 2.0);512;-4.829457542120203e-05
1;1;(0.0, -3.0, 0.0);584;-7.460931709795732e-05
1;1;(0.0, 0.0, -3.0);584;-7.460931709795732e-05
1;1;(0.0, 0.0, 3.0);520;-7.768308976738468e-05
1;1;(0.0, 3.0, 0.0);520;-7.768308976738468e-05
1;1;(1.0, -2.0, -2.0);576;-4.5269005490146264e-05
1;1;(1.0, -2.0, 2.0);531;-4.616756387591235e-05
1;1;(1.0, 2.0, -2.0);531;-4.616756387591235e-05
1;1;(1.0, 2.0, 2.0);485;-4.703693187646182e-05
1;1;(2.0, -2.0, -1.0);552;-4.5221227223970975e-05
1;1;(2.0, -2.0, 1.0);531;-4.616756387591235e-05
1;1;(2.0, -1.0, -2.0);552;-4.5221227223970975e-05
1;1;(2.0, -1.0, 2.0);512;-4.829457542120203e-05
1;1;(2.0, 1.0, -2.0);531;-4.616756387591235e-05
1;1;(2.0, 1.0, 2.0);485;-4.703693187646182e-05
1;1;(2.0, 2.0, -1.0);512;-4.829457542120203e-05
1;1;(2.0, 2.0, 1.0);485;-4.703693187646182e-05
1;1;(3.0, 0.0, 0.0);520;-7.768308976738468e-05
1;1;(-3.0, -1.0, 0.0);563;3.4320817610011375e-05
1;1;(-3.0, 0.0, -1.0);563;3.4320817610011375e-05
1;1;(-3.0, 0.0, 1.0);542;3.436839928983327e-05
1;1;(-3.0, 1.0, 0.0);542;3.436839928983327e-05
1;1;(-1.0, -3.0, 0.0);563;3.4320817610011375e-05
1;1;(-1.0, 0.0, -3.0);563;3.4320817610011375e-05
1;1;(-1.0, 0.0, 3.0);500;3.564564065832574e-05
1;1;(-1.0, 3.0, 0.0);500;3.564564065832574e-05
1;1;(0.0, -3.0, -1.0);563;3.4320817610011375e-05
1;1;(0.0, -3.0, 1.0);542;3.4368399289833273e-05
1;1;(0.0, -1.0, -3.0);563;3.4320817610011375e-05
1;1;(0.0, -1.0, 3.0);500;3.564564065832574e-05
1;1;(0.0, 1.0, -3.0);542;3.4368399289833273e-05
1;1;(0.0, 1.0, 3.0);480;3.5424560544957434e-05
1;1;(0.0, 3.0, -1.0);500;3.564564065832574e-05
1;1;(0.0, 3.0, 1.0);480;3.5424560544957434e-05
1;1;(1.0, -3.0, 0.0);542;3.4368399289833273e-05
1;1;(1.0, 0.0, -3.0);542;3.4368399289833273e-05
1;1;(1.0, 0.0, 3.0);480;3.5424560544957434e-05
1;1;(1.0, 3.0, 0.0);480;3.5424560544957434e-05
1;1;(3.0, -1.0, 0.0);500;3.564564065832574e-05
1;1;(3.0, 0.0, -1.0);500;3.564564065832574e-05
1;1;(3.0, 0.0, 1.0);480;3.5424560544957434e-05
1;1;(3.0, 1.0, 0.0);480;3.5424560544957434e-05
1;2;(-3.5, -2.5, -2.5);339;-9.568643033219148e-05
1;2;(-3.5, -2.5, 0.5);414;-9.77588031887696e-05
1;2;(-3.5, 0.5, -2.5);414;-9.77588031887696e-05
1;2;(-3.5, 0.5, 0.5);496;-9.946462599169255e-05
1;2;(-2.5, -3.5, -2.5);339;-9.568643033219148e-05
1;2;(-2.5, -3.5, 0.5);414;-9.77588031887696e-05
1;2;(-2.5, -2.5, -3.5);339;-9.568643033219148e-05
1;2;(-2.5, -2.5, 1.5);463;-9.866296819547221e-05
1;2;(-2.5, 0.5, -3.5);414;-9.77588031887696e-05
1;2;(-2.5, 0.5, 1.5);554;-0.00010240951408735342
1;2;(-2.5, 1.5, -2.5);463;-9.866296819547221e-05
1;2;(-2.5, 1.5, 0.5);554;-0.00010240951408735342
1;2;(0.5, -3.5, -2.5);414;-9.77588031887696e-05
1;2;(0.5, -3.5, 0.5);496;-9.946462599169257e-05
1;2;(0.5, -2.5, -3.5);414;-9.77588031887696e-05
1;2;(0.5, -2.5, 1.5);554;-0.00010240951408735342
1;2;(0.5, 0.5, -3.5);496;-9.946462599169257e-05
1;2;(0.5, 0.5, 1.5);681;-0.00010376276962803742
1;2;(0.5, 1.5, -2.5);554;-0.00010240951408735342
1;2;(0.5, 1.5, 0.5);681;-0.00010376276962803742
1;2;(1.5, -2.5, -2.5);463;-9.866296819547221e-05
1;2;(1.5, -2.5, 0.5);554;-0.00010240951408735342
1;2;(1.5, 0.5, -2.5);554;-0.00010240951408735342
1;2;(1.5, 0.5, 0.5);681;-0.00010376276962803742
1;1;(-3.0, -1.0, -1.0);554;1.8275315575482443e-05
1;1;(-3.0, -1.0, 1.0);531;1.8339311554855382e-05
1;1;(-3.0, 1.0, -1.0);531;1.8339311554855382e-05
1;1;(-3.0, 1.0, 1.0);514;1.838233974682255e-05
1;1;(-1.0, -3.0, -1.0);554;1.8275315575482447e-05
1;1;(-1.0, -3.0, 1.0);531;1.8339311554855382e-05
1;1;(-1.0, 3.0, -1.0);491;1.8692885773076716e-05
1;1;(-1.0, 3.0, 1.0);471;1.8578872465451946e-05
1;1;(1.0, -3.0, -1.0);531;1.8339311554855382e-05
1;1;(1.0, -3.0, 1.0);514;1.838233974682255e-05
1;1;(1.0, 3.0, -1.0);471;1.8578872465451946e-05
1;1;(1.0, 3.0, 1.0);451;1.8904071512404143e-05
1;1;(3.0, -1.0, -1.0);491;1.8692885773076716e-05
1;1;(3.0, -1.0, 1.0);471;1.8578872465451946e-05
1;1;(3.0, 1.0, -1.0);471;1.8578872465451946e-05
1;1;(3.0, 1.0, 1.0);451;1.8904071512404143e-05
1;1;(-1.0, -1.0, -3.0);554;1.8275315575482447e-05
1;1;(-1.0, -1.0, 3.0);491;1.8692885773076716e-05
1;1;(-1.0, 1.0, -3.0);531;1.8339311554855382e-05
1;1;(-1.0, 1.0, 3.0);471;1.8578872465451946e-05
1;1;(1.0, -1.0, -3.0);531;1.8339311554855382e-05
1;1;(1.0, -1.0, 3.0);471;1.8578872465451946e-05
1;1;(1.0, 1.0, -3.0);514;1.838233974682255e-05
1;1;(1.0, 1.0, 3.0);451;1.8904071512404143e-05
1;1;(-2.0, -2.0, -2.0);540;-2.791519424413889e-05
1;1;(-2.0, -2.0, 2.0);503;-2.7952456373132996e-05
1;1;(-2.0, 2.0, -2.0);503;-2.7952456373132996e-05
1;1;(-2.0, 2.0, 2.0);465;-2.896310172267219e-05
1;1;(2.0, -2.0, -2.0);503;-2.7952456373132996e-05
1;1;(2.0, -2.0, 2.0);465;-2.896310172267219e-05
1;1;(2.0, 2.0, -2.0);465;-2.896310172267219e-05
1;1;(2.0, 2.0, 2.0);419;-2.8764687638089974e-05
1;2;(-4.5, -1.5, -1.5);339;1.731118343605001e-06
1;2;(-4.5, -1.5, -0.5);363;1.7418596610548764e-06
1;2;(-4.5, -0.5, -1.5);363;1.7418596610548764e-06
1;2;(-4.5, -0.5, -0.5);385;1.745611170719502e-06
1;2;(-1.5, -4.5, -1.5);339;1.731118343605001e-06
1;2;(-1.5, -4.5, -0.5);363;1.7418596610548764e-06
1;2;(-1.5, -1.5, -4.5);339;1.731118343605001e-06
1;2;(-1.5, -0.5, -4.5);363;1.7418596610548764e-06
1;2;(-1.5, 1.5, 1.5);581;-1.2229240669268105e-05
1;2;(-0.5, -4.5, -1.5);363;1.7418596610548764e-06
1;2;(-0.5, -4.5, -0.5);385;1.745611170719502e-06
1;2;(-0.5, -1.5, -4.5);363;1.7418596610548764e-06
1;2;(-0.5, -0.5, -4.5);385;1.745611170719502e-06
1;2;(-0.5, 1.5, 1.5);621;-1.225813735193806e-05
1;2;(1.5, -3.5, -1.5);432;-1.1546847027304376e-05
1;2;(1.5, -3.5, -0.5);457;-1.1729363430229381e-05
1;2;(1.5, -1.5, 1.5);581;-1.2229240669268105e-05
1;2;(1.5, -0.5, 1.5);621;-1.225813735193806e-05
1;2;(1.5, 1.5, -1.5);581;-1.2229240669268105e-05
1;2;(1.5, 1.5, -0.5);621;-1.225813735193806e-05
1;2;(-3.5, -3.5, -1.5);316;-1.1270395427505343e-05
1;2;(-3.5, -3.5, -0.5);337;-1.1285849076596856e-05
1;2;(-3.5, -1.5, -3.5);316;-1.1270395427505343e-05
1;2;(-3.5, -1.5, 1.5);432;-1.1546847027304376e-05
1;2;(-3.5, -0.5, -3.5);337;-1.1285849076596856e-05
1;2;(-3.5, -0.5, 1.5);457;-1.1729363430229381e-05
1;2;(-3.5, 1.5, -1.5);432;-1.1546847027304376e-05
1;2;(-3.5, 1.5, -0.5);457;-1.1729363430229381e-05
1;2;(-1.5, -3.5, -3.5);316;-1.1270395427505343e-05
1;2;(-1.5, -3.5, 1.5);432;-1.1546847027304376e-05
1;2;(-1.5, -1.5, 2.5);514;1.8334696246153015e-06
1;2;(-1.5, -0.5, 2.5);546;1.85328075398702e-06
1;2;(-1.5, 1.5, -3.5);432;-1.1546847027304376e-05
1;2;(-1.5, 2.5, -1.5);514;1.8334696246153015e-06
1;2;(-1.5, 2.5, -0.5);546;1.85328075398702e-06
1;2;(-0.5, -3.5, -3.5);337;-1.1285849076596856e-05
1;2;(-0.5, -3.5, 1.5);457;-1.1729363430229381e-05
1;2;(-0.5, -1.5, 2.5);546;1.85328075398702e-06
1;2;(-0.5, -0.5, 2.5);584;1.873876212828569e-06
1;2;(-0.5, 1.5, -3.5);457;-1.1729363430229381e-05
1;2;(-0.5, 2.5, -1.5);546;1.85328075398702e-06
1;2;(-0.5, 2.5, -0.5);584;1.873876212828569e-06
1;2;(1.5, -1.5, -3.5);432;-1.1546847027304376e-05
1;2;(1.5, -0.5, -3.5);457;-1.1729363430229381e-05
1;2;(2.5, -1.5, -1.5);514;1.8334696246153015e-06
1;2;(2.5, -1.5, -0.5);546;1.85328075398702e-06
1;2;(2.5, -0.5, -1.5);546;1.85328075398702e-06
1;2;(2.5, -0.5, -0.5);584;1.873876212828569e-06
