i;j;j-coordinate;N_k;Xzz
1;2;(-5.0, -4.0, 1.5);36;-0.00018033425000000002
1;2;(-5.0, -1.0, 0.5);89;-0.0001803235
1;2;(-5.0, -1.0, 1.5);36;-0.00018033425000000002
1;2;(5.0, 1.0, 0.5);89;-0.00017851275
1;2;(5.0, 1.0, 1.5);36;-0.00017851500000000002
1;2;(5.0, 4.0, 0.5);89;-0.00017851275
1;2;(5.0, 4.0, 1.5);36;-0.00017851500000000002
1;1;(0.0, -5.0, 0.0);73;-0.00021833699999999998
1;1;(0.0, 5.0, 0.0);73;-0.00021833699999999998
2;2;(0.0, -1.0, 0.0);209;-0.0056514
2;2;(0.0, 1.0, 0.0);209;-0.0056514
2;2;(-1.0, -1.0, 0.0);209;-0.0056514
2;2;(-1.0, 0.0, 0.0);209;-0.0056514
2;2;(1.0, 0.0, 0.0);209;-0.0056514
2;2;(1.0, 1.0, 0.0);209;-0.0056514
2;2;(-1.0, -2.0, 0.0);181;-0.015330924999999999
2;2;(-1.0, 1.0, 0.0);181;-0.015330924999999999
2;2;(1.0, -1.0, 0.0);181;-0.015337
2;2;(1.0, 2.0, 0.0);181;-0.015337
2;2;(-2.0, -1.0, 0.0);179;-0.015337
2;2;(2.0, 1.0, 0.0);179;-0.015330924999999999
2;1;(0.0, 0.0, -0.5);206;0.00015973875
2;1;(0.0, 0.0, -1.5);74;0.00015974725
2;2;(0.0, -2.0, 0.0);173;0.00642325
2;2;(0.0, 2.0, 0.0);173;0.00642325
2;2;(-2.0, -2.0, 0.0);173;0.00642325
2;2;(-2.0, 0.0, 0.0);173;0.00642325
2;2;(2.0, 0.0, 0.0);173;0.00642325
2;2;(2.0, 2.0, 0.0);173;0.00642325
2;1;(0.0, -1.0, -0.5);186;3.6335325e-05
2;1;(0.0, 1.0, -0.5);186;3.6335325e-05
2;1;(-1.0, -1.0, -0.5);186;3.6335325e-05
2;1;(-1.0, 0.0, -0.5);186;3.6335325e-05
2;1;(0.0, -1.0, -1.5);74;3.6330675e-05
2;1;(0.0, 1.0, -1.5);74;3.6330675e-05
2;1;(1.0, 0.0, -0.5);186;3.6335325e-05
2;1;(1.0, 1.0, -0.5);186;3.6335325e-05
2;1;(-1.0, -1.0, -1.5);74;3.6330675e-05
2;1;(-1.0, 0.0, -1.5);74;3.6330675e-05
2;1;(1.0, 0.0, -1.5);74;3.6330675e-05
2;1;(1.0, 1.0, -1.5);74;3.6330675e-05
2;1;(-1.0, -2.0, -0.5);170;-5.24606e-05
2;1;(-1.0, 1.0, -0.5);170;-5.24606e-05
2;1;(1.0, -1.0, -0.5);170;-0.00010147975000000001
2;1;(1.0, 2.0, -0.5);170;-0.00010147975000000001
2;1;(-2.0, -1.0, -0.5);168;-0.00010147975000000001
2;1;(-1.0, -2.0, -1.5);74;-5.2465675e-05
