j-coordinate,Xzz
"(-1.0, -1.0, -4.0)",3.3128176851206094e-06
"(-1.0, -1.0, -3.0)",-0.00019324395365447397
"(-1.0, -1.0, -2.0)",-8.978837801303655e-05
"(-1.0, -1.0, -1.0)",0.00017802834881925554
"(-1.0, -1.0, 0.0)",-5.311348185435378e-05
"(-1.0, -1.0, 1.0)",-5.366038210343461e-05
"(-1.0, -1.0, 2.0)",0.00018162103400920005
"(-1.0, -1.0, 3.0)",1.5211713048913599e-05
"(-1.0, -1.0, 4.0)",-2.5379824984215314e-06
"(-1.0, -1.0, 5.0)",3.850164056038584e-06
"(-1.0, 0.0, -5.0)",7.844538303663153e-06
"(-1.0, 0.0, -4.0)",2.6592373848805522e-05
"(-1.0, 0.0, -3.0)",-0.0001354958131300547
"(-1.0, 0.0, -2.0)",9.774760652699989e-05
"(-1.0, 0.0, -1.0)",-5.320461884568433e-05
"(-1.0, 0.0, 0.0)",-0.0012573157574423755
"(-1.0, 0.0, 1.0)",-0.0012792249643710806
"(-1.0, 0.0, 2.0)",0.0002427209727639721
"(-1.0, 0.0, 3.0)",3.4155535952996075e-05
"(-1.0, 0.0, 4.0)",0.00017162560553544293
"(-1.0, 0.0, 5.0)",3.0188709494470153e-05
"(-1.0, 1.0, -5.0)",2.9287865806193598e-05
"(-1.0, 1.0, -4.0)",2.7314053545973976e-05
"(-1.0, 1.0, -3.0)",-0.0001386038442376627
"(-1.0, 1.0, -2.0)",9.914530717393292e-05
"(-1.0, 1.0, -1.0)",-5.375085119241918e-05
"(-1.0, 1.0, 0.0)",-0.0012814824224040128
"(-1.0, 1.0, 1.0)",0.00048668462157990666
"(-1.0, 1.0, 2.0)",0.0007015854861401057
"(-1.0, 1.0, 3.0)",1.4920488475276571e-05
"(-1.0, 1.0, 4.0)",-2.5739077145120457e-06
"(-1.0, 1.0, 5.0)",3.0355712466588164e-05
"(-1.0, 2.0, -4.0)",3.5837459126264653e-06
"(-1.0, 2.0, -3.0)",-0.00020067499447646295
"(-1.0, 2.0, -2.0)",-9.1110864852215e-05
"(-1.0, 2.0, -1.0)",0.00018195340534818435
"(-1.0, 2.0, 0.0)",0.0002430250488968879
"(-1.0, 2.0, 1.0)",0.0007028514961492628
"(-1.0, 2.0, 2.0)",-4.4259330596170784e-05
"(-1.0, 2.0, 3.0)",7.54995739619984e-05
"(-1.0, 2.0, 4.0)",2.7388600066036258e-05
"(-1.0, 2.0, 5.0)",3.878929336663525e-06
"(-1.0, 3.0, -4.0)",2.549307831506996e-05
"(-1.0, 3.0, -3.0)",2.5461854036014826e-05
"(-1.0, 3.0, -2.0)",-7.427091695483067e-06
"(-1.0, 3.0, -1.0)",1.5249455712962618e-05
"(-1.0, 3.0, 0.0)",3.4201386603770454e-05
"(-1.0, 3.0, 1.0)",1.4942003401541442e-05
"(-1.0, 3.0, 2.0)",7.54995739619984e-05
"(-1.0, 3.0, 3.0)",8.070611496300168e-05
"(-1.0, 3.0, 4.0)",2.6997398280485892e-05
"(-1.0, 4.0, -2.0)",2.582920809134891e-05
"(-1.0, 4.0, -1.0)",-2.543239654981707e-06
"(-1.0, 4.0, 0.0)",0.00017194316308978834
"(-1.0, 4.0, 1.0)",-2.5786565131899705e-06
"(-1.0, 4.0, 2.0)",2.7391837941711e-05
"(-1.0, 4.0, 3.0)",2.6997398280485892e-05
"(-1.0, 5.0, -1.0)",3.851973868872564e-06
"(-1.0, 5.0, 0.0)",3.020183043300708e-05
"(-1.0, 5.0, 1.0)",3.036899542202421e-05
"(-1.0, 5.0, 2.0)",3.878927276578587e-06
"(0.0, -5.0, -2.0)",2.916920426894354e-05
"(0.0, -5.0, -1.0)",7.841240982895084e-06
"(0.0, -5.0, 0.0)",-3.626872841789347e-05
"(0.0, -5.0, 1.0)",2.9610902398865037e-05
"(0.0, -4.0, -4.0)",2.5391807845774025e-05
"(0.0, -4.0, -3.0)",-2.7474218202763688e-06
"(0.0, -4.0, -2.0)",-5.089095663644737e-05
