i;j;j-coordinate;N_k;Xzz
3;5;(3.5, -0.5, 1.0);190;0.00024507926707730693
3;5;(3.5, 1.5, 1.0);183;0.0003038179940716327
3;5;(-2.5, -0.5, 0.0);301;-6.907604518709793e-05
3;5;(-2.5, 1.5, 0.0);285;-8.940498723877506e-05
3;5;(-0.5, -2.5, 0.0);290;-0.00033501719468992597
3;5;(-0.5, 3.5, 0.0);252;-0.0004711659939569925
3;5;(1.5, -2.5, 0.0);268;-0.00024136410853205342
3;5;(1.5, 3.5, 0.0);234;-0.00018071298961109766
3;5;(3.5, -0.5, 0.0);238;-0.0001984375946746253
3;5;(3.5, 1.5, 0.0);227;-8.882703814143507e-05
3;3;(-1.0, -1.0, -1.0);177;5.945536650692671e-05
3;3;(-1.0, -1.0, 1.0);278;-2.3761587147388108e-05
3;3;(-1.0, 1.0, -1.0);184;-7.254594221439208e-05
3;3;(-1.0, 1.0, 1.0);290;-2.2182630306157865e-05
3;3;(1.0, -1.0, -1.0);177;0.00013221196808359937
3;3;(1.0, -1.0, 1.0);281;-2.4193278105152212e-05
3;3;(1.0, 1.0, -1.0);184;5.9160389210659134e-05
3;3;(1.0, 1.0, 1.0);292;-2.385906184531809e-05
3;3;(-3.0, -2.0, 0.0);226;-0.011223954604845134
3;3;(-3.0, 2.0, 0.0);240;-0.020642374070417663
3;3;(-2.0, -3.0, 0.0);221;-0.009498106531267762
3;3;(-2.0, 3.0, 0.0);244;-0.01570085792907112
3;3;(2.0, -3.0, 0.0);220;-0.01687877798891216
3;3;(2.0, 3.0, 0.0);243;-0.010765561954072
3;3;(3.0, -2.0, 0.0);226;-0.01602913613692908
3;3;(3.0, 2.0, 0.0);240;-0.009356087646135672
3;4;(-2.0, 0.0, -0.5);263;0.00010309848743176277
3;4;(-2.0, 0.0, 1.5);158;-2.374559819018335e-06
3;4;(-2.0, 1.0, -0.5);258;9.650043912936998e-05
3;4;(-2.0, 1.0, 1.5);153;-2.0975274994230224e-06
3;4;(-1.0, -1.0, -0.5);282;-4.014821539354925e-06
3;4;(-1.0, -1.0, 1.5);172;7.789815649380368e-05
3;4;(-1.0, 2.0, -0.5);262;-4.306281182695813e-06
3;4;(-1.0, 2.0, 1.5);154;5.0751323312299014e-05
3;4;(0.0, -1.0, -0.5);298;-3.83507092521865e-06
3;4;(0.0, -1.0, 1.5);181;5.042195683358465e-05
3;4;(0.0, 2.0, -0.5);274;-4.83524800331924e-06
3;4;(0.0, 2.0, 1.5);162;5.914512810554151e-05
3;4;(1.0, 0.0, -0.5);308;8.410892870793257e-05
3;4;(1.0, 0.0, 1.5);184;-2.365039444791493e-06
3;4;(1.0, 1.0, -0.5);299;9.23400780701888e-05
3;4;(1.0, 1.0, 1.5);178;-3.2007249496424985e-06
3;4;(-4.0, -1.0, 0.5);190;-0.0016170391689770542
3;4;(-4.0, 2.0, 0.5);176;-0.0019418235103229812
3;4;(-2.0, -3.0, 0.5);213;-0.0020026035974365156
3;4;(-2.0, 4.0, 0.5);182;-0.001834414524509334
3;4;(1.0, -3.0, 0.5);238;-0.0036614319372343914
3;4;(1.0, 4.0, 0.5);206;-0.0017944245518059158
