i;j;j-coordinate;N_k;Xzz
1;1;(-3.0, -2.0, -4.0);347;-0.0002453365
1;1;(3.0, 2.0, 4.0);347;-0.0002453365
1;1;(3.0, 4.0, 2.0);347;-0.0002453365
1;1;(-4.0, -3.0, -2.0);347;-0.0001306575
1;1;(-4.0, -2.0, -3.0);347;-0.0001306575
1;1;(4.0, 2.0, 3.0);347;-0.0001306575
1;1;(4.0, 3.0, 2.0);347;-0.0001306575
1;1;(-2.0, -1.0, -4.0);343;-3.92514e-05
1;1;(2.0, 1.0, 4.0);343;-3.92514e-05
1;1;(-2.0, -4.0, -1.0);343;-3.92514e-05
1;1;(2.0, 4.0, 1.0);343;-3.92514e-05
1;1;(-1.0, 1.0, 3.0);345;-2.719215e-05
1;1;(-1.0, 3.0, 1.0);345;-2.719215e-05
1;1;(1.0, -3.0, -1.0);345;-2.719215e-05
1;1;(1.0, -1.0, -3.0);345;-2.719215e-05
1;1;(-2.0, 1.0, 2.0);347;7.40685e-05
1;1;(-2.0, 2.0, 1.0);347;7.40685e-05
1;1;(2.0, -2.0, -1.0);347;7.40685e-05
1;1;(2.0, -1.0, -2.0);347;7.40685e-05
1;1;(-4.0, -2.0, -1.0);345;0.000146658
1;1;(-4.0, -1.0, -2.0);345;0.000146658
1;1;(4.0, 1.0, 2.0);345;0.000146658
1;1;(4.0, 2.0, 1.0);345;0.000146658
1;1;(-3.0, -1.0, 1.0);345;7.39015e-06
1;1;(-3.0, 1.0, -1.0);345;7.39015e-06
1;1;(3.0, -1.0, 1.0);345;7.39015e-06
1;1;(3.0, 1.0, -1.0);345;7.39015e-06
1;1;(-2.0, -1.0, 2.0);345;0.000173792
1;1;(-2.0, 2.0, -1.0);345;0.000173792
1;1;(-1.0, 1.0, -3.0);341;3.167355e-05
1;1;(1.0, -1.0, 3.0);341;3.167355e-05
1;1;(2.0, -2.0, 1.0);345;0.000173792
1;1;(2.0, 1.0, -2.0);345;0.000173792
1;1;(-1.0, -3.0, 1.0);341;3.167355e-05
1;1;(1.0, 3.0, -1.0);341;3.167355e-05
1;1;(-1.0, -2.0, 2.0);343;-0.000202216
1;1;(-1.0, 2.0, -2.0);343;-0.000202216
1;1;(1.0, -2.0, 2.0);343;-0.000202216
1;1;(1.0, 2.0, -2.0);343;-0.000202216
1;1;(-3.0, -4.0, -3.0);349;0.0001867705
1;1;(-3.0, -3.0, -4.0);349;0.0001867705
1;1;(3.0, 3.0, 4.0);349;0.0001867705
1;1;(3.0, 4.0, 3.0);349;0.0001867705
1;1;(0.0, -3.0, -3.0);345;-0.000252147
1;1;(0.0, 3.0, 3.0);345;-0.000252147
1;1;(-4.0, -3.0, -3.0);347;-6.76415e-05
1;1;(4.0, 3.0, 3.0);347;-6.76415e-05
